"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.00228933399356927	0.016457532239169	0.0268869754855626	0.0383647616852469	0.0655971495956429
"alpha_a"	-4.03379331165933	-2.84327258984567	-2.27968694800034	-1.74584728882904	-0.711190154932569
"alpha_n"	-3.36442781794091	-2.61196448186833	-2.27605584133003	-1.93770581017165	-1.16986465674354
"b1out"	0.0936115987193025	0.116600863532287	0.129902319018053	0.145159028282609	0.168362892871246
"pia"	0.0156151769728517	0.0494996048491181	0.0837463819636411	0.134832471353589	0.306269148566599
"pic"	0.600140564018736	0.760789241582828	0.817677394900228	0.86230565441307	0.923640583434462
"pin"	0.0294410129413551	0.0605320510977917	0.0833508498803483	0.113461990115392	0.215497584700626
"s1out"	0.0370882930778886	0.109046024407	0.177920965399983	0.286910458489718	0.672269303500467
"sigma_a"	1.57746455012948	2.23216118589038	2.72107871917707	3.36123637478376	5.26089906606191
"sigma_n"	1.10187966486848	1.52350290143612	1.84189821583457	2.25596682888344	3.49577358771676
"sigma_s"	1.49965199459206	2.29884246489959	2.96525912317344	3.94041932513334	7.47815633433151
"sigma_u"	0.17340265162217	0.243157694961221	0.293540622823461	0.357317250901848	0.532957174997675
"u1out"	0.0568193303078563	0.0770359507276362	0.087124988426813	0.0975429021331876	0.119954558752794
"v1out"	0.0559670300982034	0.0649802345854053	0.0697969787421948	0.0747063707304232	0.0842754278318138
